id,category,name,price
0,Sports,Cheese,2400.19
1,Baby,Incredible Granite Bike,1725.16
2,Home,Awesome Fish,793.75
3,Industrial,Chair,64.84
4,Movies,Tasty Concrete Ball,1529.01
5,Automotive,Generic Soap,712.19
6,Garden,Unbranded Shirt,1723.1
7,Outdoors,Rubber Bacon,388.56
8,Tools,Shoes,988.14
9,Games,Wooden Chips,1098.81
10,Outdoors,Steel Table,1379.32
11,Health,Incredible Gloves,1108.6
12,Tools,Steel Cheese,1975.19
13,Beauty,Generic Table,2022.55
14,Sports,For repair Keyboard,2470.09
15,Grocery,Chair,1892.21
16,Baby,Ergonomic Metal Shoes,278.26
17,Electronics,Computer,516.66
18,Kids,Cotton Ball,1404.46
19,Sports,Towels,77.28
20,Toys,Refined Metal Computer,2201.57
21,Health,Steel Table,522.23
22,Sports,Rubber Bike,948.78
23,Toys,Unbranded Frozen Towels,1466.33
24,Sports,Rustic Gloves,712.89
25,Tools,Unbranded Fresh Car,1435.33
26,Home,Computer,1630.0
27,Movies,Unbranded Frozen Shoes,386.14
28,Toys,Table,1619.71
29,Jewelery,Generic Keyboard,295.59
30,Jewelery,Granite Keyboard,8.19
31,Automotive,Plastic Soap,2335.8
32,Sports,Incredible Frozen Towels,2400.56
33,Toys,Car,1730.1
34,Jewelery,Sleek Metal Hat,837.87
35,Books,Handmade Rubber Gloves,814.27
36,Clothing,For repair Steel Chicken,1303.07
37,Automotive,Pants,848.49
38,Home,Salad,937.16
39,Games,Computer,859.38
40,Kids,Licensed Shirt,650.53
41,Toys,Handmade Wooden Mouse,1563.1
42,Grocery,Steel Shoes,858.33
43,Automotive,Intelligent Plastic Ball,370.9
44,Kids,Incredible Bike,172.97
45,Shoes,Fresh Keyboard,1555.69
46,Garden,Fish,50.61
47,Home,For repair Metal Chicken,1832.18
48,Electronics,Plastic Table,2027.51
49,Shoes,Bacon,858.33
50,Baby,Incredible Chair,409.93
51,Home,Granite Salad,667.58
52,Home,Granite Pizza,2252.79
53,Shoes,Small Computer,1691.42
54,Sports,Gloves,705.44
55,Tools,Plastic Cheese,1774.13
56,Music,Plastic Ball,893.72
57,Beauty,Soft Shoes,222.44
58,Jewelery,Used Concrete Pizza,767.84
59,Toys,Cotton Keyboard,489.96
60,Kids,Ergonomic Fresh Chair,298.11
61,Grocery,Gorgeous Chicken,2323.05
62,Health,Granite Pizza,1530.47
63,Health,Generic Concrete Tuna,1448.31
64,Movies,Fresh Towels,14.42
65,Baby,New Fresh Sausages,87.87
66,Home,Unbranded Frozen Table,568.31
67,Automotive,Incredible Concrete Pizza,376.29
68,Outdoors,Chair,1091.23
69,Games,Computer,1161.48
70,Games,Plastic Sausages,231.03
71,Grocery,Awesome Soap,1470.46
72,Baby,Salad,963.98
73,Outdoors,Frozen Chicken,1488.37
74,Games,Refined Concrete Pants,2281.95
75,Garden,Gloves,1728.93
76,Baby,Incredible Tuna,1932.05
77,Garden,Generic Chips,150.97
78,Grocery,Incredible Cotton Hat,1944.39
79,Movies,Used Rubber Cheese,1209.83
80,Movies,Frozen Hat,1851.65
81,Movies,Steel Mouse,2118.78
82,Books,Plastic Mouse,2376.67
83,Clothing,Concrete Salad,360.38
84,Games,Soft Chair,500.36
85,Jewelery,Hat,585.71
86,Books,Chips,709.41
87,Grocery,Frozen Gloves,1705.79
88,Home,Sleek Frozen Ball,574.2
89,Grocery,Intelligent Mouse,1731.56
90,Industrial,Metal Chair,647.14
91,Jewelery,Fresh Cheese,2369.58
92,Computers,Ergonomic Wooden Keyboard,2127.08
93,Grocery,Practical Tuna,1980.14
94,Automotive,Hat,1126.17
95,Health,Licensed Steel Shirt,1539.89
96,Jewelery,Handcrafted Shoes,551.05
97,Industrial,Intelligent Granite Keyboard,548.01
